info_type,short_code,std_code,name
A,|4A2W1203,|KR44A2WC69S,1|금융SP 2512-2609| |00000.00|1|2014|K금
A,|4A3W1201,|KR44A3WC63S,2|경기소비재SP 2512-2603| |00000.00|1|20
A,|4A3W1202,|KR44A3WC66S,5|경기소비재SP 2512-2606| |00000.00|1|20
A,|4A3W1203,|KR44A3WC69S,9|경기소비재SP 2512-2609| |00000.00|1|20
A,|4A4W1201,|KR44A4WC63S,0|고배당50   SP 2512-2603| |00000.00|1|0
A,|4A4W1202,|KR44A4WC66S,3|고배당50   SP 2512-2606| |00000.00|1|0
A,|4A4W1203,|KR44A4WC69S,7|고배당50   SP 2512-2609| |00000.00|1|0
A,|4A5W1201,|KR44A5WC63S,7|배당성장50 SP 2512-2603| |00000.00|1|0
A,|4A5W1202,|KR44A5WC66S,0|배당성장50 SP 2512-2606| |00000.00|1|0
A,|4A5W1203,|KR44A5WC69S,4|배당성장50 SP 2512-2609| |00000.00|1|0
A,|4A6W1201,|KR44A6WC63S,5|건설SP 2512-2603| |00000.00|1|2009|K건
A,|4A6W1202,|KR44A6WC66S,8|건설SP 2512-2606| |00000.00|1|2009|K건
A,|4A6W1203,|KR44A6WC69S,2|건설SP 2512-2609| |00000.00|1|2009|K건
A,|4A7W1201,|KR44A7WC63S,3|중공업SP 2512-2603| |00000.00|1|2010|K
A,|4A7W1202,|KR44A7WC66S,6|중공업SP 2512-2606| |00000.00|1|2010|K
A,|4A7W1203,|KR44A7WC69S,0|중공업SP 2512-2609| |00000.00|1|2010|K
A,|4A8W1201,|KR44A8WC63S,1|헬스케어SP 2512-2603| |00000.00|1|2018
A,|4A8W1202,|KR44A8WC66S,4|헬스케어SP 2512-2606| |00000.00|1|2018
A,|4A8W1203,|KR44A8WC69S,8|헬스케어SP 2512-2609| |00000.00|1|2018
A,|4A9W1201,|KR44A9WC63S,9|철강소재   SP 2512-2603| |00000.00|1|2
A,|4A9W1202,|KR44A9WC66S,2|철강소재   SP 2512-2606| |00000.00|1|2
A,|4A9W1203,|KR44A9WC69S,6|철강소재   SP 2512-2609| |00000.00|1|2
A,|4AAW1201,|KR44AAWC63S,4|생활소비재 SP 2512-2603| |00000.00|1|2
A,|4AAW1202,|KR44AAWC66S,7|생활소비재 SP 2512-2606| |00000.00|1|2
A,|4AAW1203,|KR44AAWC69S,1|생활소비재 SP 2512-2609| |00000.00|1|2
A,|4ABW1201,|KR44ABWC63S,2|산업재     SP 2512-2603| |00000.00|1|2
A,|4ABW1202,|KR44ABWC66S,5|산업재     SP 2512-2606| |00000.00|1|2
A,|4ABW1203,|KR44ABWC69S,9|산업재     SP 2512-2609| |00000.00|1|2
A,|4ACW1201,|KR44ACWC63S,0|BBIG           SP 2512-2603| |00000.00
A,|4ACW1202,|KR44ACWC66S,3|BBIG           SP 2512-2606| |00000.00
A,|4ACW1203,|KR44ACWC69S,7|BBIG           SP 2512-2609| |00000.00
A,|4ADW1201,|KR44ADWC63S,8|2차전지 TOP 10 SP 2512-2603| |00000.00
A,|4ADW1202,|KR44ADWC66S,1|2차전지 TOP 10 SP 2512-2606| |00000.00
A,|4ADW1203,|KR44ADWC69S,5|2차전지 TOP 10 SP 2512-2609| |00000.00
A,|4AEW1201,|KR44AEWC63S,6|바이오 TOP 10  SP 2512-2603| |00000.00
A,|4AEW1202,|KR44AEWC66S,9|바이오 TOP 10  SP 2512-2606| |00000.00
A,|4AEW1203,|KR44AEWC69S,3|바이오 TOP 10  SP 2512-2609| |00000.00
A,|4AGW1201,|KR44AGWC63S,1|코스닥글로벌 SP 2512-2603| |00000.00|1
A,|4AGW1202,|KR44AGWC66S,4|코스닥글로벌 SP 2512-2606| |00000.00|1
A,|4AGW1203,|KR44AGWC69S,8|코스닥글로벌 SP 2512-2609| |00000.00|1
A,|4AHW1201,|KR44AHWC63S,9|코리아밸류업 SP 2512-2603| |00000.00|1
A,|4AHW1202,|KR44AHWC66S,2|코리아밸류업 SP 2512-2606| |00000.00|1
A,|4AHW1203,|KR44AHWC69S,6|코리아밸류업 SP 2512-2609| |00000.00|1
A,|4ALW1201,|KR44ALWC63S,1|반도체SP 2512-2603| |00000.00|1|4003|K
A,|4ALW1202,|KR44ALWC66S,4|반도체SP 2512-2606| |00000.00|1|4003|K
A,|4ALW1203,|KR44ALWC69S,8|반도체SP 2512-2609| |00000.00|1|4003|K
