info_type,short_code,std_code,name
E,|305W1266,7|KR4305WC66,73|미니P 202512 667.5|2|00667.50| |2001|
E,|305W1267,0|KR4305WC67,07|미니P 202512 670.0|2|00670.00| |2001|
E,|305W1267,2|KR4305WC67,23|미니P 202512 672.5|2|00672.50| |2001|
E,|305W1267,5|KR4305WC67,56|미니P 202512 675.0|2|00675.00| |2001|
E,|305W1267,7|KR4305WC67,72|미니P 202512 677.5|2|00677.50| |2001|
E,|305W1268,0|KR4305WC68,06|미니P 202512 680.0|2|00680.00| |2001|
K,|306W1200,1|KR4306WC00,"14|코스닥150P 202512 1,275|3|01275.00| |"
K,|306W1200,2|KR4306WC00,"22|코스닥150P 202512 1,300|3|01300.00| |"
K,|306W1200,3|KR4306WC00,"30|코스닥150P 202512 1,325|3|01325.00| |"
K,|306W1200,4|KR4306WC00,"48|코스닥150P 202512 1,350|3|01350.00| |"
K,|306W1200,5|KR4306WC00,"55|코스닥150P 202512 1,375|3|01375.00| |"
K,|306W1200,6|KR4306WC00,"63|코스닥150P 202512 1,400|3|01400.00| |"
K,|306W1200,7|KR4306WC00,"71|코스닥150P 202512 1,425|3|01425.00| |"
K,|306W1200,8|KR4306WC00,"89|코스닥150P 202512 1,450|3|01450.00| |"
K,|306W1200,9|KR4306WC00,"97|코스닥150P 202512 1,475|3|01475.00| |"
K,|306W1201,0|KR4306WC01,"05|코스닥150P 202512 1,500|3|01500.00| |"
K,|306W1201,1|KR4306WC01,"13|코스닥150P 202512 1,525|1|01525.00| |"
K,|306W1201,2|KR4306WC01,"21|코스닥150P 202512 1,550|2|01550.00| |"
K,|306W1201,3|KR4306WC01,"39|코스닥150P 202512 1,575|2|01575.00| |"
K,|306W1201,4|KR4306WC01,"47|코스닥150P 202512 1,600|2|01600.00| |"
K,|306W1201,5|KR4306WC01,"54|코스닥150P 202512 1,625|2|01625.00| |"
K,|306W1201,6|KR4306WC01,"62|코스닥150P 202512 1,650|2|01650.00| |"
K,|306W1201,7|KR4306WC01,"70|코스닥150P 202512 1,675|2|01675.00| |"
K,|306W1201,8|KR4306WC01,"88|코스닥150P 202512 1,700|2|01700.00| |"
K,|306W1201,9|KR4306WC01,"96|코스닥150P 202512 1,725|2|01725.00| |"
K,|306W1202,0|KR4306WC02,"04|코스닥150P 202512 1,750|2|01750.00| |"
K,|306W1202,1|KR4306WC02,"12|코스닥150P 202512 1,775|2|01775.00| |"
K,|306W1202,2|KR4306WC02,"20|코스닥150P 202512 1,225|3|01225.00| |"
K,|306W1202,3|KR4306WC02,"38|코스닥150P 202512 1,250|3|01250.00| |"
K,|306W1202,4|KR4306WC02,"46|코스닥150P 202512 1,150|3|01150.00| |"
K,|306W1202,5|KR4306WC02,"53|코스닥150P 202512 1,175|3|01175.00| |"
K,|306W1202,6|KR4306WC02,"61|코스닥150P 202512 1,200|3|01200.00| |"
K,|306W1202,7|KR4306WC02,"79|코스닥150P 202512 1,125|3|01125.00| |"
K,|306W1202,8|KR4306WC02,"87|코스닥150P 202512 1,050|3|01050.00| |"
K,|306W1202,9|KR4306WC02,"95|코스닥150P 202512 1,075|3|01075.00| |"
K,|306W1203,0|KR4306WC03,"03|코스닥150P 202512 1,100|3|01100.00| |"
K,|306W1203,1|KR4306WC03,"11|코스닥150P 202512 1,025|3|01025.00| |"
K,|306W1203,2|KR4306WC03,"29|코스닥150P 202512 1,000|3|01000.00| |"
K,|306W1203,3|KR4306WC03,37|코스닥150P 202512   950|3|00950.00| |
K,|306W1203,4|KR4306WC03,45|코스닥150P 202512   975|3|00975.00| |
K,|306W1203,5|KR4306WC03,52|코스닥150P 202512   925|3|00925.00| |
K,|306W1203,6|KR4306WC03,60|코스닥150P 202512   900|3|00900.00| |
K,|306W1203,7|KR4306WC03,78|코스닥150P 202512   875|3|00875.00| |
K,|306W1203,8|KR4306WC03,86|코스닥150P 202512   850|3|00850.00| |
K,|306W1205,3|KR4306WC05,"35|코스닥150P 202512 1,800|2|01800.00| |"
K,|306W1205,4|KR4306WC05,"43|코스닥150P 202512 1,825|2|01825.00| |"
M,|309EFW50,0|KR4309EF50,01|위클리P 2511W4 500.0|3|00500.00| |200
M,|309EFW50,2|KR4309EF50,27|위클리P 2511W4 502.5|3|00502.50| |200
M,|309EFW50,5|KR4309EF50,50|위클리P 2511W4 505.0|3|00505.00| |200
M,|309EFW50,7|KR4309EF50,76|위클리P 2511W4 507.5|3|00507.50| |200
M,|309EFW51,0|KR4309EF51,00|위클리P 2511W4 510.0|3|00510.00| |200
M,|309EFW51,2|KR4309EF51,26|위클리P 2511W4 512.5|3|00512.50| |200
M,|309EFW51,5|KR4309EF51,59|위클리P 2511W4 515.0|3|00515.00| |200
M,|309EFW51,7|KR4309EF51,75|위클리P 2511W4 517.5|3|00517.50| |200
M,|309EFW52,0|KR4309EF52,09|위클리P 2511W4 520.0|3|00520.00| |200
M,|309EFW52,2|KR4309EF52,25|위클리P 2511W4 522.5|3|00522.50| |200
M,|309EFW52,5|KR4309EF52,58|위클리P 2511W4 525.0|3|00525.00| |200
M,|309EFW52,7|KR4309EF52,74|위클리P 2511W4 527.5|3|00527.50| |200
M,|309EFW53,0|KR4309EF53,08|위클리P 2511W4 530.0|3|00530.00| |200
M,|309EFW53,2|KR4309EF53,24|위클리P 2511W4 532.5|3|00532.50| |200
M,|309EFW53,5|KR4309EF53,57|위클리P 2511W4 535.0|3|00535.00| |200
M,|309EFW53,7|KR4309EF53,73|위클리P 2511W4 537.5|3|00537.50| |200
M,|309EFW54,0|KR4309EF54,07|위클리P 2511W4 540.0|1|00540.00| |200
M,|309EFW54,2|KR4309EF54,23|위클리P 2511W4 542.5|2|00542.50| |200
M,|309EFW54,5|KR4309EF54,56|위클리P 2511W4 545.0|2|00545.00| |200
M,|309EFW54,7|KR4309EF54,72|위클리P 2511W4 547.5|2|00547.50| |200
M,|309EFW55,0|KR4309EF55,06|위클리P 2511W4 550.0|2|00550.00| |200
M,|309EFW55,2|KR4309EF55,22|위클리P 2511W4 552.5|2|00552.50| |200
M,|309EFW55,5|KR4309EF55,55|위클리P 2511W4 555.0|2|00555.00| |200
M,|309EFW55,7|KR4309EF55,71|위클리P 2511W4 557.5|2|00557.50| |200
M,|309EFW56,0|KR4309EF56,05|위클리P 2511W4 560.0|2|00560.00| |200
M,|309EFW56,2|KR4309EF56,21|위클리P 2511W4 562.5|2|00562.50| |200
M,|309EFW56,5|KR4309EF56,54|위클리P 2511W4 565.0|2|00565.00| |200
M,|309EFW56,7|KR4309EF56,70|위클리P 2511W4 567.5|2|00567.50| |200
M,|309EFW57,0|KR4309EF57,04|위클리P 2511W4 570.0|2|00570.00| |200
M,|309EFW57,2|KR4309EF57,20|위클리P 2511W4 572.5|2|00572.50| |200
M,|309EFW57,5|KR4309EF57,53|위클리P 2511W4 575.0|2|00575.00| |200
M,|309EFW57,7|KR4309EF57,79|위클리P 2511W4 577.5|2|00577.50| |200
M,|309EFW58,0|KR4309EF58,03|위클리P 2511W4 580.0|2|00580.00| |200
M,|309EFW58,2|KR4309EF58,29|위클리P 2511W4 582.5|2|00582.50| |200
M,|309EFW58,5|KR4309EF58,52|위클리P 2511W4 585.0|2|00585.00| |200
M,|309EFW58,7|KR4309EF58,78|위클리P 2511W4 587.5|2|00587.50| |200
M,|309EFW59,0|KR4309EF59,02|위클리P 2511W4 590.0|2|00590.00| |200
M,|309EFW59,2|KR4309EF59,28|위클리P 2511W4 592.5|2|00592.50| |200
M,|309EFW59,5|KR4309EF59,51|위클리P 2511W4 595.0|2|00595.00| |200
M,|309EFW59,7|KR4309EF59,77|위클리P 2511W4 597.5|2|00597.50| |200
M,|309EFW60,0|KR4309EF60,09|위클리P 2511W4 600.0|2|00600.00| |200
M,|309EFW60,2|KR4309EF60,25|위클리P 2511W4 602.5|2|00602.50| |200
M,|309EFW60,5|KR4309EF60,58|위클리P 2511W4 605.0|2|00605.00| |200
O,|3AFAMW50,0|KR43AFAM50,06|위클리M P 2511W4 500.0|3|00500.00| |2
O,|3AFAMW50,2|KR43AFAM50,22|위클리M P 2511W4 502.5|3|00502.50| |2
O,|3AFAMW50,5|KR43AFAM50,55|위클리M P 2511W4 505.0|3|00505.00| |2
O,|3AFAMW50,7|KR43AFAM50,71|위클리M P 2511W4 507.5|3|00507.50| |2
O,|3AFAMW51,0|KR43AFAM51,05|위클리M P 2511W4 510.0|3|00510.00| |2
O,|3AFAMW51,2|KR43AFAM51,21|위클리M P 2511W4 512.5|3|00512.50| |2
O,|3AFAMW51,5|KR43AFAM51,54|위클리M P 2511W4 515.0|3|00515.00| |2
O,|3AFAMW51,7|KR43AFAM51,70|위클리M P 2511W4 517.5|3|00517.50| |2
O,|3AFAMW52,0|KR43AFAM52,04|위클리M P 2511W4 520.0|3|00520.00| |2
O,|3AFAMW52,2|KR43AFAM52,20|위클리M P 2511W4 522.5|3|00522.50| |2
O,|3AFAMW52,5|KR43AFAM52,53|위클리M P 2511W4 525.0|3|00525.00| |2
O,|3AFAMW52,7|KR43AFAM52,79|위클리M P 2511W4 527.5|3|00527.50| |2
O,|3AFAMW53,0|KR43AFAM53,03|위클리M P 2511W4 530.0|3|00530.00| |2
O,|3AFAMW53,2|KR43AFAM53,29|위클리M P 2511W4 532.5|3|00532.50| |2
O,|3AFAMW53,5|KR43AFAM53,52|위클리M P 2511W4 535.0|3|00535.00| |2
O,|3AFAMW53,7|KR43AFAM53,78|위클리M P 2511W4 537.5|3|00537.50| |2
O,|3AFAMW54,0|KR43AFAM54,02|위클리M P 2511W4 540.0|1|00540.00| |2
O,|3AFAMW54,2|KR43AFAM54,28|위클리M P 2511W4 542.5|2|00542.50| |2
O,|3AFAMW54,5|KR43AFAM54,51|위클리M P 2511W4 545.0|2|00545.00| |2
O,|3AFAMW54,7|KR43AFAM54,77|위클리M P 2511W4 547.5|2|00547.50| |2
O,|3AFAMW55,0|KR43AFAM55,01|위클리M P 2511W4 550.0|2|00550.00| |2
O,|3AFAMW55,2|KR43AFAM55,27|위클리M P 2511W4 552.5|2|00552.50| |2
O,|3AFAMW55,5|KR43AFAM55,50|위클리M P 2511W4 555.0|2|00555.00| |2
O,|3AFAMW55,7|KR43AFAM55,76|위클리M P 2511W4 557.5|2|00557.50| |2
O,|3AFAMW56,0|KR43AFAM56,00|위클리M P 2511W4 560.0|2|00560.00| |2
O,|3AFAMW56,2|KR43AFAM56,26|위클리M P 2511W4 562.5|2|00562.50| |2
O,|3AFAMW56,5|KR43AFAM56,59|위클리M P 2511W4 565.0|2|00565.00| |2
O,|3AFAMW56,7|KR43AFAM56,75|위클리M P 2511W4 567.5|2|00567.50| |2
O,|3AFAMW57,0|KR43AFAM57,09|위클리M P 2511W4 570.0|2|00570.00| |2
O,|3AFAMW57,2|KR43AFAM57,25|위클리M P 2511W4 572.5|2|00572.50| |2
O,|3AFAMW57,5|KR43AFAM57,58|위클리M P 2511W4 575.0|2|00575.00| |2
O,|3AFAMW57,7|KR43AFAM57,74|위클리M P 2511W4 577.5|2|00577.50| |2
O,|3AFAMW58,0|KR43AFAM58,08|위클리M P 2511W4 580.0|2|00580.00| |2
O,|3AFAMW58,2|KR43AFAM58,24|위클리M P 2511W4 582.5|2|00582.50| |2
O,|3AFAMW58,5|KR43AFAM58,57|위클리M P 2511W4 585.0|2|00585.00| |2
O,|3AFAMW58,7|KR43AFAM58,73|위클리M P 2511W4 587.5|2|00587.50| |2
O,|3AFAMW59,0|KR43AFAM59,07|위클리M P 2511W4 590.0|2|00590.00| |2
O,|3AFAMW59,2|KR43AFAM59,23|위클리M P 2511W4 592.5|2|00592.50| |2
O,|3AFAMW59,5|KR43AFAM59,56|위클리M P 2511W4 595.0|2|00595.00| |2
O,|3AFAMW59,7|KR43AFAM59,72|위클리M P 2511W4 597.5|2|00597.50| |2
O,|3AFAMW60,0|KR43AFAM60,04|위클리M P 2511W4 600.0|2|00600.00| |2
O,|3AFAMW60,2|KR43AFAM60,20|위클리M P 2511W4 602.5|2|00602.50| |2
O,|3AFAMW60,5|KR43AFAM60,53|위클리M P 2511W4 605.0|2|00605.00| |2
O,|3AFAMW60,7|KR43AFAM60,79|위클리M P 2511W4 607.5|2|00607.50| |2
O,|3AFAMW61,0|KR43AFAM61,03|위클리M P 2511W4 610.0|2|00610.00| |2
O,|3AFAMW61,2|KR43AFAM61,29|위클리M P 2511W4 612.5|2|00612.50| |2
O,|3AFAMW61,5|KR43AFAM61,52|위클리M P 2511W4 615.0|2|00615.00| |2
O,|3AFAMW61,7|KR43AFAM61,78|위클리M P 2511W4 617.5|2|00617.50| |2
O,|3AFANW50,0|KR43AFAN50,05|위클리M P 2512W1 500.0|3|00500.00| |2
O,|3AFANW50,2|KR43AFAN50,21|위클리M P 2512W1 502.5|3|00502.50| |2
O,|3AFANW50,5|KR43AFAN50,54|위클리M P 2512W1 505.0|3|00505.00| |2
O,|3AFANW50,7|KR43AFAN50,70|위클리M P 2512W1 507.5|3|00507.50| |2
O,|3AFANW51,0|KR43AFAN51,04|위클리M P 2512W1 510.0|3|00510.00| |2
O,|3AFANW51,2|KR43AFAN51,20|위클리M P 2512W1 512.5|3|00512.50| |2
O,|3AFANW51,5|KR43AFAN51,53|위클리M P 2512W1 515.0|3|00515.00| |2
O,|3AFANW51,7|KR43AFAN51,79|위클리M P 2512W1 517.5|3|00517.50| |2
O,|3AFANW52,0|KR43AFAN52,03|위클리M P 2512W1 520.0|3|00520.00| |2
O,|3AFANW52,2|KR43AFAN52,29|위클리M P 2512W1 522.5|3|00522.50| |2
O,|3AFANW52,5|KR43AFAN52,52|위클리M P 2512W1 525.0|3|00525.00| |2
O,|3AFANW52,7|KR43AFAN52,78|위클리M P 2512W1 527.5|3|00527.50| |2
O,|3AFANW53,0|KR43AFAN53,02|위클리M P 2512W1 530.0|3|00530.00| |2
O,|3AFANW53,2|KR43AFAN53,28|위클리M P 2512W1 532.5|3|00532.50| |2
O,|3AFANW53,5|KR43AFAN53,51|위클리M P 2512W1 535.0|3|00535.00| |2
O,|3AFANW53,7|KR43AFAN53,77|위클리M P 2512W1 537.5|3|00537.50| |2
O,|3AFANW54,0|KR43AFAN54,01|위클리M P 2512W1 540.0|1|00540.00| |2
O,|3AFANW54,2|KR43AFAN54,27|위클리M P 2512W1 542.5|2|00542.50| |2
O,|3AFANW54,5|KR43AFAN54,50|위클리M P 2512W1 545.0|2|00545.00| |2
O,|3AFANW54,7|KR43AFAN54,76|위클리M P 2512W1 547.5|2|00547.50| |2
O,|3AFANW55,0|KR43AFAN55,00|위클리M P 2512W1 550.0|2|00550.00| |2
O,|3AFANW55,2|KR43AFAN55,26|위클리M P 2512W1 552.5|2|00552.50| |2
O,|3AFANW55,5|KR43AFAN55,59|위클리M P 2512W1 555.0|2|00555.00| |2
O,|3AFANW55,7|KR43AFAN55,75|위클리M P 2512W1 557.5|2|00557.50| |2
O,|3AFANW56,0|KR43AFAN56,09|위클리M P 2512W1 560.0|2|00560.00| |2
O,|3AFANW56,2|KR43AFAN56,25|위클리M P 2512W1 562.5|2|00562.50| |2
O,|3AFANW56,5|KR43AFAN56,58|위클리M P 2512W1 565.0|2|00565.00| |2
O,|3AFANW56,7|KR43AFAN56,74|위클리M P 2512W1 567.5|2|00567.50| |2
O,|3AFANW57,0|KR43AFAN57,08|위클리M P 2512W1 570.0|2|00570.00| |2
O,|3AFANW57,2|KR43AFAN57,24|위클리M P 2512W1 572.5|2|00572.50| |2
O,|3AFANW57,5|KR43AFAN57,57|위클리M P 2512W1 575.0|2|00575.00| |2
O,|3AFANW57,7|KR43AFAN57,73|위클리M P 2512W1 577.5|2|00577.50| |2
O,|3AFANW58,0|KR43AFAN58,07|위클리M P 2512W1 580.0|2|00580.00| |2
Q,|3AJ04W00,2|KR43AJ0400,"23|코스닥위클리P 2511W4 1,325|3|01325.00"
Q,|3AJ04W00,3|KR43AJ0400,"31|코스닥위클리P 2511W4 1,350|3|01350.00"
Q,|3AJ04W00,4|KR43AJ0400,"49|코스닥위클리P 2511W4 1,375|3|01375.00"
Q,|3AJ04W00,5|KR43AJ0400,"56|코스닥위클리P 2511W4 1,400|3|01400.00"
Q,|3AJ04W00,6|KR43AJ0400,"64|코스닥위클리P 2511W4 1,425|3|01425.00"
Q,|3AJ04W00,7|KR43AJ0400,"72|코스닥위클리P 2511W4 1,450|3|01450.00"
Q,|3AJ04W00,8|KR43AJ0400,"80|코스닥위클리P 2511W4 1,475|3|01475.00"
Q,|3AJ04W00,9|KR43AJ0400,"98|코스닥위클리P 2511W4 1,500|3|01500.00"
Q,|3AJ04W01,0|KR43AJ0401,"06|코스닥위클리P 2511W4 1,525|1|01525.00"
Q,|3AJ04W01,1|KR43AJ0401,"14|코스닥위클리P 2511W4 1,550|2|01550.00"
Q,|3AJ04W01,2|KR43AJ0401,"22|코스닥위클리P 2511W4 1,575|2|01575.00"
Q,|3AJ04W01,3|KR43AJ0401,"30|코스닥위클리P 2511W4 1,600|2|01600.00"
Q,|3AJ04W01,4|KR43AJ0401,"48|코스닥위클리P 2511W4 1,625|2|01625.00"
Q,|3AJ04W01,5|KR43AJ0401,"55|코스닥위클리P 2511W4 1,650|2|01650.00"
Q,|3AJ04W01,6|KR43AJ0401,"63|코스닥위클리P 2511W4 1,675|2|01675.00"
Q,|3AJ04W01,7|KR43AJ0401,"71|코스닥위클리P 2511W4 1,700|2|01700.00"
Q,|3AJ04W01,8|KR43AJ0401,"89|코스닥위클리P 2511W4 1,725|2|01725.00"
Q,|3AJ04W01,9|KR43AJ0401,"97|코스닥위클리P 2511W4 1,750|2|01750.00"
Q,|3AJ04W02,0|KR43AJ0402,"05|코스닥위클리P 2511W4 1,775|2|01775.00"
S,|3AK04W00,2|KR43AK0400,"20|코스닥위클리M P 2511W4 1,325|3|01325."
S,|3AK04W00,3|KR43AK0400,"38|코스닥위클리M P 2511W4 1,350|3|01350."
S,|3AK04W00,4|KR43AK0400,"46|코스닥위클리M P 2511W4 1,375|3|01375."
S,|3AK04W00,5|KR43AK0400,"53|코스닥위클리M P 2511W4 1,400|3|01400."
S,|3AK04W00,6|KR43AK0400,"61|코스닥위클리M P 2511W4 1,425|3|01425."
S,|3AK04W00,7|KR43AK0400,"79|코스닥위클리M P 2511W4 1,450|3|01450."
S,|3AK04W00,8|KR43AK0400,"87|코스닥위클리M P 2511W4 1,475|3|01475."
S,|3AK04W00,9|KR43AK0400,"95|코스닥위클리M P 2511W4 1,500|3|01500."
S,|3AK04W01,0|KR43AK0401,"03|코스닥위클리M P 2511W4 1,525|1|01525."
S,|3AK04W01,1|KR43AK0401,"11|코스닥위클리M P 2511W4 1,550|2|01550."
S,|3AK04W01,2|KR43AK0401,"29|코스닥위클리M P 2511W4 1,575|2|01575."
S,|3AK04W01,3|KR43AK0401,"37|코스닥위클리M P 2511W4 1,600|2|01600."
S,|3AK04W01,4|KR43AK0401,"45|코스닥위클리M P 2511W4 1,625|2|01625."
S,|3AK04W01,5|KR43AK0401,"52|코스닥위클리M P 2511W4 1,650|2|01650."
S,|3AK04W01,6|KR43AK0401,"60|코스닥위클리M P 2511W4 1,675|2|01675."
S,|3AK04W01,7|KR43AK0401,"78|코스닥위클리M P 2511W4 1,700|2|01700."
S,|3AK04W01,8|KR43AK0401,"86|코스닥위클리M P 2511W4 1,725|2|01725."
S,|3AK04W01,9|KR43AK0401,"94|코스닥위클리M P 2511W4 1,750|2|01750."
S,|3AK04W02,0|KR43AK0402,"02|코스닥위클리M P 2511W4 1,775|2|01775."
S,|3AK04W02,1|KR43AK0402,"10|코스닥위클리M P 2511W4 1,800|2|01800."
S,|3AK05W00,2|KR43AK0500,"29|코스닥위클리M P 2512W1 1,325|3|01325."
S,|3AK05W00,3|KR43AK0500,"37|코스닥위클리M P 2512W1 1,350|3|01350."
S,|3AK05W00,4|KR43AK0500,"45|코스닥위클리M P 2512W1 1,375|3|01375."
S,|3AK05W00,5|KR43AK0500,"52|코스닥위클리M P 2512W1 1,400|3|01400."
S,|3AK05W00,6|KR43AK0500,"60|코스닥위클리M P 2512W1 1,425|3|01425."
S,|3AK05W00,7|KR43AK0500,"78|코스닥위클리M P 2512W1 1,450|3|01450."
S,|3AK05W00,8|KR43AK0500,"86|코스닥위클리M P 2512W1 1,475|3|01475."
S,|3AK05W00,9|KR43AK0500,"94|코스닥위클리M P 2512W1 1,500|3|01500."
S,|3AK05W01,0|KR43AK0501,"02|코스닥위클리M P 2512W1 1,525|1|01525."
S,|3AK05W01,1|KR43AK0501,"10|코스닥위클리M P 2512W1 1,550|2|01550."
S,|3AK05W01,2|KR43AK0501,"28|코스닥위클리M P 2512W1 1,575|2|01575."
S,|3AK05W01,3|KR43AK0501,"36|코스닥위클리M P 2512W1 1,600|2|01600."
S,|3AK05W01,4|KR43AK0501,"44|코스닥위클리M P 2512W1 1,625|2|01625."
S,|3AK05W01,5|KR43AK0501,"51|코스닥위클리M P 2512W1 1,650|2|01650."
S,|3AK05W01,6|KR43AK0501,"69|코스닥위클리M P 2512W1 1,675|2|01675."
S,|3AK05W01,7|KR43AK0501,"77|코스닥위클리M P 2512W1 1,700|2|01700."
S,|3AK05W01,8|KR43AK0501,"85|코스닥위클리M P 2512W1 1,725|2|01725."
5,|B0160130,0|KR4B016130,03|C 202601 300.0|2|00300.00| |2001|KOSP
5,|B0160130,2|KR4B016130,29|C 202601 302.5|2|00302.50| |2001|KOSP
5,|B0160130,5|KR4B016130,52|C 202601 305.0|2|00305.00| |2001|KOSP
5,|B0160130,7|KR4B016130,78|C 202601 307.5|2|00307.50| |2001|KOSP
5,|B0160131,0|KR4B016131,02|C 202601 310.0|2|00310.00| |2001|KOSP
5,|B0160131,2|KR4B016131,28|C 202601 312.5|2|00312.50| |2001|KOSP
5,|B0160131,5|KR4B016131,51|C 202601 315.0|2|00315.00| |2001|KOSP
5,|B0160131,7|KR4B016131,77|C 202601 317.5|2|00317.50| |2001|KOSP
5,|B0160132,0|KR4B016132,01|C 202601 320.0|2|00320.00| |2001|KOSP
5,|B0160132,2|KR4B016132,27|C 202601 322.5|2|00322.50| |2001|KOSP
5,|B0160132,5|KR4B016132,50|C 202601 325.0|2|00325.00| |2001|KOSP
5,|B0160132,7|KR4B016132,76|C 202601 327.5|2|00327.50| |2001|KOSP
5,|B0160133,0|KR4B016133,00|C 202601 330.0|2|00330.00| |2001|KOSP
5,|B0160133,2|KR4B016133,26|C 202601 332.5|2|00332.50| |2001|KOSP
5,|B0160133,5|KR4B016133,59|C 202601 335.0|2|00335.00| |2001|KOSP
5,|B0160133,7|KR4B016133,75|C 202601 337.5|2|00337.50| |2001|KOSP
5,|B0160134,0|KR4B016134,09|C 202601 340.0|2|00340.00| |2001|KOSP
5,|B0160134,2|KR4B016134,25|C 202601 342.5|2|00342.50| |2001|KOSP
5,|B0160134,5|KR4B016134,58|C 202601 345.0|2|00345.00| |2001|KOSP
5,|B0160134,7|KR4B016134,74|C 202601 347.5|2|00347.50| |2001|KOSP
5,|B0160135,0|KR4B016135,08|C 202601 350.0|2|00350.00| |2001|KOSP
5,|B0160135,2|KR4B016135,24|C 202601 352.5|2|00352.50| |2001|KOSP
5,|B0160135,5|KR4B016135,57|C 202601 355.0|2|00355.00| |2001|KOSP
5,|B0160135,7|KR4B016135,73|C 202601 357.5|2|00357.50| |2001|KOSP
5,|B0160136,0|KR4B016136,07|C 202601 360.0|2|00360.00| |2001|KOSP
5,|B0160136,2|KR4B016136,23|C 202601 362.5|2|00362.50| |2001|KOSP
5,|B0160136,5|KR4B016136,56|C 202601 365.0|2|00365.00| |2001|KOSP
5,|B0160136,7|KR4B016136,72|C 202601 367.5|2|00367.50| |2001|KOSP
5,|B0160137,0|KR4B016137,06|C 202601 370.0|2|00370.00| |2001|KOSP
5,|B0160137,2|KR4B016137,22|C 202601 372.5|2|00372.50| |2001|KOSP
5,|B0160137,5|KR4B016137,55|C 202601 375.0|2|00375.00| |2001|KOSP
5,|B0160137,7|KR4B016137,71|C 202601 377.5|2|00377.50| |2001|KOSP
5,|B0160138,0|KR4B016138,05|C 202601 380.0|2|00380.00| |2001|KOSP
5,|B0160138,2|KR4B016138,21|C 202601 382.5|2|00382.50| |2001|KOSP
5,|B0160138,5|KR4B016138,54|C 202601 385.0|2|00385.00| |2001|KOSP
5,|B0160138,7|KR4B016138,70|C 202601 387.5|2|00387.50| |2001|KOSP
5,|B0160139,0|KR4B016139,04|C 202601 390.0|2|00390.00| |2001|KOSP
5,|B0160139,2|KR4B016139,20|C 202601 392.5|2|00392.50| |2001|KOSP
5,|B0160139,5|KR4B016139,53|C 202601 395.0|2|00395.00| |2001|KOSP
5,|B0160139,7|KR4B016139,79|C 202601 397.5|2|00397.50| |2001|KOSP
5,|B0160140,0|KR4B016140,01|C 202601 400.0|2|00400.00| |2001|KOSP
5,|B0160140,2|KR4B016140,27|C 202601 402.5|2|00402.50| |2001|KOSP
5,|B0160140,5|KR4B016140,50|C 202601 405.0|2|00405.00| |2001|KOSP
5,|B0160140,7|KR4B016140,76|C 202601 407.5|2|00407.50| |2001|KOSP
5,|B0160141,0|KR4B016141,00|C 202601 410.0|2|00410.00| |2001|KOSP
5,|B0160141,2|KR4B016141,26|C 202601 412.5|2|00412.50| |2001|KOSP
5,|B0160141,5|KR4B016141,59|C 202601 415.0|2|00415.00| |2001|KOSP
5,|B0160141,7|KR4B016141,75|C 202601 417.5|2|00417.50| |2001|KOSP
5,|B0160142,0|KR4B016142,09|C 202601 420.0|2|00420.00| |2001|KOSP
5,|B0160142,2|KR4B016142,25|C 202601 422.5|2|00422.50| |2001|KOSP
5,|B0160142,5|KR4B016142,58|C 202601 425.0|2|00425.00| |2001|KOSP
5,|B0160142,7|KR4B016142,74|C 202601 427.5|2|00427.50| |2001|KOSP
5,|B0160143,0|KR4B016143,08|C 202601 430.0|2|00430.00| |2001|KOSP
5,|B0160143,2|KR4B016143,24|C 202601 432.5|2|00432.50| |2001|KOSP
5,|B0160143,5|KR4B016143,57|C 202601 435.0|2|00435.00| |2001|KOSP
5,|B0160143,7|KR4B016143,73|C 202601 437.5|2|00437.50| |2001|KOSP
5,|B0160144,0|KR4B016144,07|C 202601 440.0|2|00440.00| |2001|KOSP
5,|B0160144,2|KR4B016144,23|C 202601 442.5|2|00442.50| |2001|KOSP
5,|B0160144,5|KR4B016144,56|C 202601 445.0|2|00445.00| |2001|KOSP
5,|B0160144,7|KR4B016144,72|C 202601 447.5|2|00447.50| |2001|KOSP
5,|B0160145,0|KR4B016145,06|C 202601 450.0|2|00450.00| |2001|KOSP
5,|B0160145,2|KR4B016145,22|C 202601 452.5|2|00452.50| |2001|KOSP
5,|B0160145,5|KR4B016145,55|C 202601 455.0|2|00455.00| |2001|KOSP
5,|B0160145,7|KR4B016145,71|C 202601 457.5|2|00457.50| |2001|KOSP
5,|B0160146,0|KR4B016146,05|C 202601 460.0|2|00460.00| |2001|KOSP
5,|B0160146,2|KR4B016146,21|C 202601 462.5|2|00462.50| |2001|KOSP
5,|B0160146,5|KR4B016146,54|C 202601 465.0|2|00465.00| |2001|KOSP
5,|B0160146,7|KR4B016146,70|C 202601 467.5|2|00467.50| |2001|KOSP
5,|B0160147,0|KR4B016147,04|C 202601 470.0|2|00470.00| |2001|KOSP
5,|B0160147,2|KR4B016147,20|C 202601 472.5|2|00472.50| |2001|KOSP
5,|B0160147,5|KR4B016147,53|C 202601 475.0|2|00475.00| |2001|KOSP
5,|B0160147,7|KR4B016147,79|C 202601 477.5|2|00477.50| |2001|KOSP
5,|B0160148,0|KR4B016148,03|C 202601 480.0|2|00480.00| |2001|KOSP
5,|B0160148,2|KR4B016148,29|C 202601 482.5|2|00482.50| |2001|KOSP
5,|B0160148,5|KR4B016148,52|C 202601 485.0|2|00485.00| |2001|KOSP
