short_code,std_code,name
003470,KR7003470002,유안타증권
003475,KR7003471000,유안타증권우
003480,KR7003480001,한진중공업홀딩스
003490,KR7003490000,대한항공
003495,KR7003491008,대한항공우
003520,KR7003520004,영진약품
003530,KR7003530003,한화투자증권
003535,KR7003531001,한화투자증권우
003540,KR7003540002,대신증권
003545,KR7003541000,대신증권우
003547,KR7003542008,대신증권2우B
003550,KR7003550001,LG
003555,KR7003551009,LG우
003560,KR7003560000,IHQ
003570,KR7003570009,SNT다이내믹스
003580,KR7003580008,HLB글로벌
0035T0,KR70035T0000,PLUS 글로벌휴머노이드로봇액티브
003610,KR7003610003,방림
003620,KR7003620002,KG모빌리티
003650,KR7003650009,미창석유
003670,KR7003670007,포스코퓨처엠
003680,KR7003680006,한성기업
003690,KR7003690005,코리안리
0036D0,KR70036D0007,TIMEFOLIO 미국배당다우존스액티브
0036R0,KR70036R0001,RISE 미국휴머노이드로봇
0036Z0,KR70036Z0001,RISE 미국천연가스밸류체인
003720,KR7003720000,삼영
003780,KR7003780004,진양산업
003830,KR7003830007,대한화섬
003850,KR7003850005,보령
0038A0,KR70038A0008,KODEX 미국휴머노이드로봇
003920,KR7003920006,남양유업
003925,KR7003921004,남양유업우
003960,KR7003960002,사조대림
004000,KR7004000006,롯데정밀화학
004020,KR7004020004,현대제철
004060,KR7004060000,SG세계물산
004080,KR7004080008,신흥
004090,KR7004090007,한국석유
0040S0,KR70040S0004,HANARO 글로벌피지컬AI액티브
0040X0,KR70040X0007,SOL 팔란티어미국채커버드콜혼합
0040Y0,KR70040Y0006,SOL 팔란티어커버드콜OTM채권혼합
004100,KR7004100004,태양금속
004105,KR7004101002,태양금속우
004140,KR7004140000,동방
004150,KR7004150009,한솔홀딩스
004170,KR7004170007,신세계
0041D0,KR70041D0000,KODEX 미국AI소프트웨어TOP10
0041E0,KR70041E0009,KODEX 미국S&P500액티브
004250,KR7004250007,NPC
004255,KR7004251005,NPC우
004270,KR7004270005,남성
004310,KR7004310009,현대약품
004360,KR7004360004,세방
004365,KR7004361002,세방우
004370,KR7004370003,농심
004380,KR7004380002,삼익THK
0043B0,KR70043B0000,TIGER 머니마켓액티브
0043Y0,KR70043Y0003,TIMEFOLIO 차이나AI테크액티브
004410,KR7004410007,서울식품
004415,KR7004411005,서울식품우
004430,KR7004430005,송원산업
004440,KR7004440004,삼일씨엔에스
004450,KR7004450003,삼화왕관
004490,KR7004490009,세방전지
004540,KR7004540001,깨끗한나라
004545,KR7004541009,깨끗한나라우
004560,KR7004560009,현대비앤지스틸
004690,KR7004690004,삼천리
0046A0,KR70046A0008,TIGER 미국초단기(3개월이하)국채
0046Y0,KR70046Y0000,ACE 미국배당퀄리티
004700,KR7004700001,조광피혁
004710,KR7004710000,한솔테크닉스
004720,KR7004720009,팜젠사이언스
004770,KR7004770004,써니전자
0047A0,KR70047A0007,TIGER 차이나테크TOP10
0047N0,KR70047N0002,PLUS 차이나AI테크TOP10
0047P0,KR70047P0000,RISE 테슬라고정테크100
0047R0,KR70047R0008,RISE 팔란티어고정테크100
004800,KR7004800009,효성
004830,KR7004830006,덕성
004835,KR7004831004,덕성우
004840,KR7004840005,DRB동일
004870,KR7004870002,티웨이홀딩스
004890,KR7004890000,동일산업
0048J0,KR70048J0007,KODEX 미국머니마켓액티브
0048K0,KR70048K0004,KODEX 차이나휴머노이드로봇
004910,KR7004910006,조광페인트
004920,KR7004920005,씨아이테크
004960,KR7004960001,한신공영
004970,KR7004970000,신라교역
004980,KR7004980009,성신양회
004985,KR7004981007,성신양회우
004990,KR7004990008,롯데지주
00499K,KR700499K014,롯데지주우
0049K0,KR70049K0003,ACE 미국배당퀄리티채권혼합50
0049M0,KR70049M0001,ACE 미국배당퀄리티+커버드콜액티브
005010,KR7005010004,휴스틸
005030,KR7005030002,부산주공
005070,KR7005070008,코스모신소재
005090,KR7005090006,SGC에너지
0050E0,KR70050E0007,PLUS 미국AI에이전트
005110,KR7005110002,한창
005180,KR7005180005,빙그레
0051A0,KR70051A0000,KoAct 브로드컴밸류체인액티브
0051G0,KR70051G0004,SOL 미국원자력SMR
005250,KR7005250006,녹십자홀딩스
005257,KR7005252002,녹십자홀딩스2우
0052D0,KR70052D0006,TIGER 코리아배당다우존스
0052S0,KR70052S0009,1Q 미국S&P500미국채혼합50액티브
0052T0,KR70052T0008,1Q 중단기회사채(A-이상)액티브
005300,KR7005300009,롯데칠성
005305,KR7005301007,롯데칠성우
005320,KR7005320007,온타이드
005360,KR7005360003,모나미
005380,KR7005380001,현대차
005385,KR7005381009,현대차우
005387,KR7005382007,현대차2우B
005389,KR7005383005,현대차3우B
0053L0,KR70053L0005,TIGER 차이나휴머노이드로봇
0053M0,KR70053M0004,더제이 중소형포커스액티브
005420,KR7005420005,코스모화학
005430,KR7005430004,한국공항
005440,KR7005440003,현대지에프홀딩스
005490,KR7005490008,POSCO홀딩스
005500,KR7005500004,삼진제약
005610,KR7005610001,SPC삼립
