short_code,std_code,name
402030,KR7402030001,코난테크놀로지
403870,KR7403870009,HPSP
407400,KR7407400001,꿈비
416180,KR7416180008,신성에스티
417010,KR7417010006,나노팀
417200,KR7417200003,LS머트리얼즈
418470,KR7418470001,KT밀리의서재
418550,KR7418550000,제이오
419530,KR7419530001,SAMG엔터
420770,KR7420770000,기가비스
425040,KR7425040003,티이엠씨
432470,KR7432470003,케이엔에스
432720,KR7432720001,퀄리타스반도체
435570,KR7435570007,에르코스
439090,KR7439090002,마녀공장
443250,KR7443250006,레뷰코퍼레이션
443670,KR7443670005,에스피소프트
445090,KR7445090004,에이직랜드
448280,KR7448280008,에코아이
451250,KR7451250005,삐아
451760,KR7451760003,컨텍
452190,KR7452190002,한빛레이저
452430,KR7452430002,사피엔반도체
453450,KR7453450009,그리드위즈
455900,KR7455900001,엔젤로보틱스
456070,KR7456070002,이엔셀
458650,KR7458650009,성우
459100,KR7459100004,위츠
461300,KR7461300006,아이스크림미디어
462350,KR7462350000,이노스페이스
473980,KR7473980001,노머스
474650,KR7474650009,링크솔루션
475430,KR7475430005,키스트론
475830,KR7475830006,오름테라퓨틱
479960,KR7479960007,위너스
481070,KR7481070001,에이유브랜즈
482630,KR7482630001,삼양엔씨켐
484120,KR7484120001,도우인시스
489460,KR7489460006,바이오비쥬
489500,KR7489500009,엘케이켐
