short_code,std_code,name
52L749,KRA5211A2F99,미래L749하나금융콜
52L750,KRA5211A3F98,미래L750LS일렉콜
52L751,KRA5211A4F97,미래L751LS일렉콜
52L752,KRA5211A5F96,미래L752LS일렉콜
52L753,KRA5211A6F95,미래L753LS일렉콜
52L754,KRA5211A7F94,미래L754LS일렉콜
52L755,KRA5211A8F93,미래L755카카페이콜
52L756,KRA5211A9F92,미래L756현대건설콜
52L757,KRA5211AAF97,미래L757현대건설콜
52L758,KRA5211ABF96,미래L758현대건설콜
52L759,KRA5211ACF95,미래L759삼양식품콜
52L760,KRA5211ADF94,미래L760현대일렉콜
52L761,KRA5211AEF93,미래L761현대로템콜
52L762,KRA5211AFF92,미래L762LIG넥스콜
52L763,KRA5211AGF91,미래L763LIG넥스콜
52L764,KRA5211AHF90,미래L764한화오션콜
52L765,KRA5211AJF98,미래L765한화오션콜
52L766,KRA5211AKF95,미래L766한화오션콜
52L767,KRA5211ALF94,미래L767에이피알콜
52L768,KRA5211AMF93,미래L768에이피알콜
52L769,KRA5211ANF92,미래L769에이피알콜
52L770,KRA5211APF90,미래L770SK콜
52L771,KRA5211AQF99,미래L771효성중공콜
52L772,KRA521101FA3,미래L772삼성전자콜
52L773,KRA521102FA1,미래L773삼성전자콜
52L774,KRA521103FA9,미래L774삼성전자콜
52L775,KRA521204FA5,미래L775삼성전자풋
52L776,KRA521205FA2,미래L776삼성전자풋
52L777,KRA521106FA2,미래L777POSCO홀콜
52L778,KRA521107FA0,미래L778POSCO홀콜
52L779,KRA521108FA8,미래L779POSCO홀콜
52L780,KRA521109FA6,미래L780POSCO홀콜
52L781,KRA521110FA4,미래L781POSCO홀콜
52L782,KRA521111FA2,미래L782POSCO홀콜
52L783,KRA521112FA0,미래L783네이버콜
52L784,KRA521113FA8,미래L784네이버콜
52L785,KRA521114FA6,미래L785네이버콜
52L786,KRA521215FA1,미래L786네이버풋
52L787,KRA521216FA9,미래L787네이버풋
52L788,KRA521117FA9,미래L788한국전력콜
52L789,KRA521118FA7,미래L789한국전력콜
52L790,KRA521119FA5,미래L790한국전력콜
52L791,KRA521120FA3,미래L791한국전력콜
52L792,KRA521121FA1,미래L792한국전력콜
52L793,KRA521122FA9,미래L793한국전력콜
52L794,KRA521123FA7,미래L794한국전력콜
52L795,KRA521124FA5,미래L795셀트리온콜
52L796,KRA521125FA2,미래L796셀트리온콜
52L797,KRA521126FA0,미래L797셀트리온콜
52L798,KRA521127FA8,미래L798셀트리온콜
52L799,KRA521128FA6,미래L799하이브콜
52L800,KRA521129FA4,미래L800하이브콜
52L801,KRA521130FA2,미래L801하이브콜
52L802,KRA521131FA0,미래L802하이브콜
52L803,KRA521132FA8,미래L803LG화학콜
52L804,KRA521133FA6,미래L804LG화학콜
52L805,KRA521134FA4,미래L805LG화학콜
52L806,KRA521135FA1,미래L806LG화학콜
52L807,KRA521136FA9,미래L807LG화학콜
52L808,KRA521137FA7,미래L808LG화학콜
52L809,KRA521138FA5,미래L809카카오콜
52L810,KRA521139FA3,미래L810카카오콜
52L811,KRA521140FA1,미래L811카카오콜
52L812,KRA521141FA9,미래L812카카오콜
52L813,KRA521142FA7,미래L813기아콜
52L814,KRA521143FA5,미래L814기아콜
52L815,KRA521144FA3,미래L815기아콜
52L816,KRA521145FA0,미래L816기아콜
52L817,KRA521146FA8,미래L817기아콜
52L818,KRA521147FA6,미래L818SK하이닉콜
52L819,KRA521148FA4,미래L819SK하이닉콜
52L820,KRA521249FA0,미래L820SK하이닉풋
52L821,KRA521250FA8,미래L821SK하이닉풋
52L822,KRA521251FA6,미래L822SK하이닉풋
52L823,KRA521152FA6,미래L823삼성SDI콜
52L824,KRA521153FA4,미래L824삼성SDI콜
52L825,KRA521154FA2,미래L825삼성SDI콜
52L826,KRA521155FA9,미래L826삼성SDI콜
52L827,KRA521156FA7,미래L827현대차콜
52L828,KRA521157FA5,미래L828현대차콜
52L829,KRA521158FA3,미래L829현대차콜
52L830,KRA521159FA1,미래L830현대차콜
52L831,KRA521160FA9,미래L831두산에너콜
52L832,KRA521161FA7,미래L832두산에너콜
52L833,KRA521162FA5,미래L833두산에너콜
52L834,KRA521163FA3,미래L834두산에너콜
52L835,KRA521164FA1,미래L835LG에너지콜
52L836,KRA521165FA8,미래L836LG에너지콜
52L837,KRA521166FA6,미래L837LG에너지콜
52L838,KRA521167FA4,미래L838LG에너지콜
52L839,KRA521168FA2,미래L839HMM콜
52L840,KRA521169FA0,미래L840HMM콜
52L841,KRA521170FA8,미래L841HMM콜
52L842,KRA521171FA6,미래L842HMM콜
52L843,KRA521172FA4,미래L843모비스콜
52L844,KRA521173FA2,미래L844모비스콜
52L845,KRA521174FA0,미래L845SK이노콜
52L846,KRA521175FA7,미래L846SK이노콜
52L847,KRA521176FA5,미래L847SK이노콜
52L848,KRA521177FA3,미래L848SK이노콜
52L849,KRA521178FA1,미래L849한화에어콜
52L850,KRA521179FA9,미래L850한화에어콜
52L851,KRA521180FA7,미래L851한화솔루콜
52L852,KRA521181FA5,미래L852한화솔루콜
52L853,KRA521182FA3,미래L853한화솔루콜
52L854,KRA521183FA1,미래L854현대건설콜
52L855,KRA521184FA9,미래L855현대건설콜
52L856,KRA521185FA6,미래L856현대건설콜
52L857,KRA521186FA4,미래L857현대건설콜
52L858,KRA521187FA2,미래L858KB금융콜
52L859,KRA521188FA0,미래L859아모레콜
52L860,KRA521189FA8,미래L860알테오젠콜
52L861,KRA521190FA6,미래L861알테오젠콜
52L862,KRA521191FA4,미래L862하나금융콜
52L863,KRA521192FA2,미래L863삼성중콜
52L864,KRA521193FA0,미래L864삼성중콜
52L865,KRA521194FA8,미래L865삼성중콜
52L866,KRA521195FA5,미래L866한화오션콜
52L867,KRA521196FA3,미래L867한화오션콜
52L868,KRA521197FA1,미래L868한국조선콜
52L869,KRA521198FA9,미래L869한국조선콜
52L870,KRA521199FA7,미래L870한국조선콜
52L871,KRA5211A0FA2,미래L871한국조선콜
52L872,KRA5211A1FA0,미래L872한국조선콜
52L873,KRA5211A2FA8,미래L873한국항공콜
52L874,KRA5211A3FA6,미래L874LS일렉콜
52L875,KRA5211A4FA4,미래L875LS일렉콜
52L876,KRA5211A5FA1,미래L876카카페이콜
52L877,KRA5211A6FA9,미래L877에이피알콜
52L878,KRA5211A7FA7,미래L878에이피알콜
52L879,KRA5211A8FA5,미래L879크래프톤콜
52L880,KRA5211A9FA3,미래L880크래프톤콜
52L881,KRA5211AAFA3,미래L881크래프톤콜
52L882,KRA5211ABFA1,미래L882삼성물산콜
52L883,KRA5211ACFA9,미래L883삼성물산콜
52L884,KRA5211ADFA7,미래L884SK텔레콤콜
52L885,KRA5211AEFA5,미래L885SK텔레콤콜
52L886,KRA5211AFFA2,미래L886LIG넥스콜
52L887,KRA5211AGFA0,미래L887LIG넥스콜
52L888,KRA5211AHFA8,미래L888현대로템콜
52L889,KRA5211AJFA4,미래L889현대로템콜
52L890,KRA5211AKFA2,미래L890현대로템콜
52L891,KRA5211ALFA0,미래L891효성중공콜
52L892,KRA5211AMFA8,미래L892현대일렉콜
52L893,KRA5211ANFA6,미래L893삼양식품콜
52L894,KRA5211APFA1,미래L894SK콜
52L895,KRA5211AQFA9,미래L895SK콜
52L896,KRA521101FB1,미래L896POSCO홀콜
52L897,KRA521102FB9,미래L897POSCO홀콜
52L898,KRA521103FB7,미래L898삼성전자콜
52L899,KRA521104FB5,미래L899삼성전자콜
52L900,KRA521105FB2,미래L900삼성전자콜
52L901,KRA521106FB0,미래L901삼성전자콜
52L902,KRA521107FB8,미래L902삼성전자콜
